outer_target,method,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
switzerland,equal_logit_blend,mcar_30,0,123.0,0.9349593495934959,0.7195652173913043,0.9662183124706877,0.6162534240571281,0.6324022766817295,0.21356281969126145,0.21863159110879427,0.6178861788617886,0.621195652173913,0.7513227513227513,0.9594594594594594,0.6173913043478261,0.33043478260869563,2.686927782976039,0.7999359879399837,0.23884928311334455
switzerland,equal_logit_blend,mcar_30,1,123.0,0.9349593495934959,0.8402173913043478,0.9857187954826214,0.531416017101705,0.5067024328939809,0.1767733772000351,0.16839137288041856,0.7398373983739838,0.7445652173913043,0.8415841584158416,0.9770114942528736,0.7391304347826086,0.7217391304347827,2.813151575200611,1.4072714450706447,0.14656809355037528
switzerland,equal_logit_blend,mcar_30,2,123.0,0.9349593495934959,0.7826086956521738,0.9591842338797991,0.5554832289449414,0.5759614774197351,0.18617996640239468,0.1883445162314047,0.7073170731707317,0.7271739130434782,0.8181818181818182,0.9759036144578314,0.7043478260869566,0.5565217391304348,2.7096147740464236,1.2391069749991908,0.1934180770966565
switzerland,equal_logit_blend,mcar_30,3,123.0,0.9349593495934959,0.7456521739130435,0.9666312561770498,0.5833033878675759,0.6105613577496215,0.1994475191027627,0.20663173637625415,0.7073170731707317,0.7271739130434782,0.8181818181818182,0.9759036144578314,0.7043478260869566,0.6,2.628667978088335,0.9602007033501642,0.19811680369549545
switzerland,equal_logit_blend,mcar_30,4,123.0,0.9349593495934959,0.7391304347826086,0.9724914854276406,0.5811413475669652,0.6084286020434615,0.20000618650709975,0.2114066329515309,0.6910569105691057,0.6603260869565217,0.8080808080808081,0.963855421686747,0.6956521739130435,0.4608695652173913,2.6301257511995684,0.9079306611159574,0.18315384875134033
switzerland,equal_logit_blend,mcar_30,5,123.0,0.9349593495934959,0.8195652173913044,0.9735354125911988,0.5526784048580544,0.5383648852465674,0.18579430288394216,0.17461406062398632,0.7073170731707317,0.7853260869565217,0.8163265306122449,0.9876543209876543,0.6956521739130435,0.7391304347826086,2.8679851179461084,1.4047083791838924,0.1699532124592046
switzerland,equal_logit_blend,mcar_30,6,123.0,0.9349593495934959,0.8108695652173914,0.9834055870918459,0.577858030415672,0.5342048869427076,0.1988962865622805,0.17876762069708002,0.6991869918699187,0.7809782608695652,0.8102564102564103,0.9875,0.6869565217391305,0.6956521739130435,2.83355425866685,1.2635416016280288,0.18040100814455906
switzerland,equal_logit_blend,mcar_30,7,123.0,0.9349593495934959,0.7760869565217392,0.9735850176745438,0.6057489093646926,0.5733044526850497,0.20852977828116437,0.19078041812725333,0.6829268292682927,0.7722826086956522,0.7979274611398963,0.9871794871794872,0.6695652173913044,0.7304347826086957,2.7918916712937034,1.0103404179760471,0.22202609137807092
switzerland,equal_logit_blend,mcar_30,8,123.0,0.9349593495934959,0.866304347826087,0.9893383671307789,0.5494353081451395,0.4761768028262438,0.18579486822079316,0.15466566937895138,0.6829268292682927,0.7141304347826087,0.8,0.975,0.6782608695652174,0.6782608695652174,3.0161496286892815,1.4795612752422997,0.1642290081174615
switzerland,equal_logit_blend,mcar_30,9,123.0,0.9349593495934959,0.7619565217391304,0.9684840770749652,0.6322193233873646,0.5998854645081003,0.21811866166704136,0.19892159459161776,0.6666666666666666,0.7635869565217391,0.7853403141361257,0.9868421052631579,0.6521739130434783,0.7130434782608696,2.76535661746663,0.8883160799657536,0.2639869979261853
