outer_target,router_candidate,validation_site,router_seed,site_worst_balanced_log_loss,natural_roc_auc
hungary,support_only,switzerland,5062,0.548152939965213,0.9168004817342433
hungary,support_only,switzerland,5063,0.5475722772676848,0.9131372942593337
hungary,support_only,switzerland,5064,0.5441162800050451,0.917402649538338
hungary,support_only,switzerland,5065,0.5472995360217887,0.9158972300281011
hungary,support_only,switzerland,5066,0.5469261458385328,0.9167001204335609
hungary,support_only,switzerland,5067,0.5435813744265952,0.9166499397832196
hungary,support_only,switzerland,5068,0.5447448685790413,0.9162484945804897
hungary,support_only,switzerland,5069,0.5470497072711135,0.9165997591328784
hungary,support_only,switzerland,5070,0.548092910330916,0.9166499397832196
hungary,support_only,switzerland,5071,0.5433865937746358,0.9164492171818547
hungary,support_only,va_long_beach,5062,0.5458360793561772,0.9174528301886792
hungary,support_only,va_long_beach,5063,0.5446669309623973,0.9173022882376556
hungary,support_only,va_long_beach,5064,0.5430627915485026,0.9168004817342432
hungary,support_only,va_long_beach,5065,0.5430649851953889,0.9173524688879968
hungary,support_only,va_long_beach,5066,0.5445122499382179,0.917402649538338
hungary,support_only,va_long_beach,5067,0.5429359919616672,0.9170012043356082
hungary,support_only,va_long_beach,5068,0.5461228464934621,0.91584704937776
hungary,support_only,va_long_beach,5069,0.5437046186181711,0.9168506623845845
hungary,support_only,va_long_beach,5070,0.5441902134998786,0.9163488558811722
hungary,support_only,va_long_beach,5071,0.5415095611423896,0.9172019269369731
hungary,support_plus_expert_context,cleveland,5062,0.5406416194223764,0.9177037334403854
hungary,support_plus_expert_context,cleveland,5063,0.5411379456825933,0.9110798875953432
hungary,support_plus_expert_context,cleveland,5064,0.5434239212258785,0.9127358490566039
hungary,support_plus_expert_context,cleveland,5065,0.5434614400475595,0.9133881975110397
hungary,support_plus_expert_context,cleveland,5066,0.5419496343574152,0.9136391007627459
hungary,support_plus_expert_context,cleveland,5067,0.5434273052743519,0.9160477719791249
hungary,support_plus_expert_context,cleveland,5068,0.5432817924639575,0.9153954235246888
hungary,support_plus_expert_context,cleveland,5069,0.5428688989525163,0.914743075070253
hungary,support_plus_expert_context,cleveland,5070,0.5457664810194292,0.9114813327980731
hungary,support_plus_expert_context,cleveland,5071,0.542023056358287,0.9132878362103574
hungary,support_plus_expert_context,switzerland,5062,0.5476640412871634,0.9118827780008029
hungary,support_plus_expert_context,switzerland,5063,0.5467514252725048,0.9132878362103574
hungary,support_plus_expert_context,switzerland,5064,0.5443953383394832,0.9120835006021677
hungary,support_plus_expert_context,switzerland,5065,0.5474887469228575,0.9121838619028503
hungary,support_plus_expert_context,switzerland,5066,0.5442399613479002,0.9115315134484143
hungary,support_plus_expert_context,switzerland,5067,0.548347859233588,0.9125853071055801
hungary,support_plus_expert_context,switzerland,5068,0.547187377969798,0.9131874749096748
hungary,support_plus_expert_context,switzerland,5069,0.5464408292995445,0.9128362103572862
hungary,support_plus_expert_context,switzerland,5070,0.5466927530457004,0.9125853071055802
hungary,support_plus_expert_context,switzerland,5071,0.5491264321985856,0.911682055399438
hungary,support_plus_expert_context,va_long_beach,5062,0.5446380816244147,0.9175030108390205
hungary,support_plus_expert_context,va_long_beach,5063,0.5449558658616549,0.9177539140907266
hungary,support_plus_expert_context,va_long_beach,5064,0.5457136394991158,0.918255720594139
hungary,support_plus_expert_context,va_long_beach,5065,0.5456055879236404,0.9165495784825372
hungary,support_plus_expert_context,va_long_beach,5066,0.5466342631778358,0.9177037334403855
hungary,support_plus_expert_context,va_long_beach,5067,0.5444472244833407,0.9176033721397029
hungary,support_plus_expert_context,va_long_beach,5068,0.5455158166257732,0.9179044560417503
hungary,support_plus_expert_context,va_long_beach,5069,0.5445057920224761,0.9177539140907266
hungary,support_plus_expert_context,va_long_beach,5070,0.5452513430157351,0.9184564431955038
hungary,support_plus_expert_context,va_long_beach,5071,0.5453237839302549,0.9177539140907266
hungary,anchor_relative_context,cleveland,5062,0.5400866999215627,0.9170513849859494
hungary,anchor_relative_context,cleveland,5063,0.5412705890488518,0.9131874749096749
hungary,anchor_relative_context,cleveland,5064,0.5423001652163353,0.907968687274187
hungary,anchor_relative_context,cleveland,5065,0.5441210558310816,0.9168506623845845
hungary,anchor_relative_context,cleveland,5066,0.5465269733233671,0.911029706945002
hungary,anchor_relative_context,cleveland,5067,0.5454843976849111,0.9162986752308311
hungary,anchor_relative_context,cleveland,5068,0.5418231605673658,0.9076676033721397
hungary,anchor_relative_context,cleveland,5069,0.5496769952689218,0.9101766358892011
hungary,anchor_relative_context,cleveland,5070,0.5470237910074818,0.905108390204737
hungary,anchor_relative_context,cleveland,5071,0.5469680310054532,0.9165997591328783
hungary,anchor_relative_context,switzerland,5062,0.5439202944464151,0.9170513849859494
hungary,anchor_relative_context,switzerland,5063,0.544950011789027,0.9165495784825372
hungary,anchor_relative_context,switzerland,5064,0.5453732848388712,0.9159975913287836
hungary,anchor_relative_context,switzerland,5065,0.5442206540110339,0.9165495784825372
hungary,anchor_relative_context,switzerland,5066,0.5436480360803211,0.9169510236852669
hungary,anchor_relative_context,switzerland,5067,0.5438833716909882,0.9170012043356082
hungary,anchor_relative_context,switzerland,5068,0.5450875912882327,0.9166499397832196
hungary,anchor_relative_context,switzerland,5069,0.5454533610785515,0.9165997591328784
hungary,anchor_relative_context,switzerland,5070,0.5442261839135093,0.9166499397832195
hungary,anchor_relative_context,switzerland,5071,0.5452802307860038,0.9157466880770776
hungary,anchor_relative_context,va_long_beach,5062,0.543898323829277,0.9170513849859494
hungary,anchor_relative_context,va_long_beach,5063,0.5449304038866871,0.9164993978321959
hungary,anchor_relative_context,va_long_beach,5064,0.5455657702848613,0.9158972300281012
hungary,anchor_relative_context,va_long_beach,5065,0.5438158325430626,0.9174528301886792
hungary,anchor_relative_context,va_long_beach,5066,0.5436486876960722,0.9170513849859494
hungary,anchor_relative_context,va_long_beach,5067,0.543607096065369,0.9178040947410678
hungary,anchor_relative_context,va_long_beach,5068,0.5446201179002037,0.9171015656362906
hungary,anchor_relative_context,va_long_beach,5069,0.545314917210832,0.9166499397832196
hungary,anchor_relative_context,va_long_beach,5070,0.544280396003626,0.9169008430349258
hungary,anchor_relative_context,va_long_beach,5071,0.5449895198630612,0.9164492171818547
switzerland,support_only,cleveland,5062,0.620184087347234,0.7956521739130435
switzerland,support_only,cleveland,5063,0.618387899872296,0.7989130434782608
switzerland,support_only,cleveland,5064,0.6186007644897822,0.7989130434782608
switzerland,support_only,cleveland,5065,0.6203308684854086,0.7934782608695652
switzerland,support_only,cleveland,5066,0.6196813366697438,0.7978260869565217
switzerland,support_only,cleveland,5067,0.6193957867120712,0.7945652173913044
switzerland,support_only,cleveland,5068,0.6193282282456471,0.7978260869565217
