method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_30,9,0.5272045028142589,123.0,0.9349593495934959,0.7619565217391304,0.9737576030320254,0.6885448266440826,0.5985718213155293,0.2384165327335334,0.19887175798753087,0.6422764227642277,0.7505434782608695,0.7659574468085106,0.9863013698630136,0.6260869565217392,0.7391304347826086,2.8658930350778467,0.7859786738129563,0.31306159909662545
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,0,0.3839899937460914,123.0,0.9349593495934959,0.7195652173913043,0.9669321607387098,0.6500672030023483,0.6309678613864991,0.22852101209823353,0.21585528998127407,0.6504065040650406,0.6967391304347825,0.774869109947644,0.9736842105263158,0.6434782608695652,0.5391304347826087,2.716777534280033,0.7919970983424587,0.2658876265014714
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,1,0.36898061288305195,123.0,0.9349593495934959,0.766304347826087,0.9777698233202439,0.6884423427540379,0.5886906493421423,0.2449975805395545,0.2018464425703226,0.5934959349593496,0.6663043478260869,0.7282608695652174,0.9710144927536232,0.5826086956521739,0.5739130434782609,2.920509145747939,0.967310913132825,0.3120371980124066
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,2,0.3733583489681051,123.0,0.9349593495934959,0.6815217391304348,0.9605255533782832,0.7701157017300554,0.6762504324453052,0.2756080474697937,0.23142957581738902,0.5447154471544715,0.6402173913043478,0.6853932584269663,0.9682539682539683,0.5304347826086957,0.5217391304347826,2.8108583458355985,0.5757064349196994,0.41783575286096564
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,3,0.375234521575985,123.0,0.9349593495934959,0.6565217391304348,0.9681243612777681,0.7862803968910401,0.6776198981934475,0.28297677176163244,0.24090287058938326,0.5365853658536586,0.5777173913043478,0.6815642458100558,0.953125,0.5304347826086957,0.4434782608695652,2.785207736163458,0.49820550205322706,0.4176191678013043
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,4,0.3577235772357724,123.0,0.9349593495934959,0.692391304347826,0.9636090819918892,0.794575209830929,0.680852044442261,0.2886656712316351,0.2393481188870893,0.5528455284552846,0.6445652173913043,0.6927374301675978,0.96875,0.5391304347826087,0.45217391304347826,2.87069322979272,0.6161132487634683,0.4156078194700938
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,5,0.395247029393371,123.0,0.9349593495934959,0.6717391304347826,0.9692650897930511,0.733469063159075,0.66032129522236,0.2636164380404769,0.23471815021979822,0.5772357723577236,0.5994565217391304,0.717391304347826,0.9565217391304348,0.5739130434782609,0.4782608695652174,2.762095971187221,0.5812006100794268,0.35900060446826276
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,6,0.38211382113821146,123.0,0.9349593495934959,0.7347826086956523,0.975242493375392,0.6926932576253702,0.6066596664529824,0.2429005595532337,0.2102945778496429,0.6260162601626016,0.6255434782608695,0.7578947368421053,0.96,0.6260869565217392,0.40869565217391307,2.8598217903035708,0.8281385668180067,0.3625957287540104
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,7,0.38273921200750477,123.0,0.9349593495934959,0.6695652173913044,0.9688190134528308,0.787537453921977,0.6735596077074338,0.28161111677425243,0.23641950899584802,0.6016260162601627,0.6706521739130435,0.7351351351351352,0.9714285714285714,0.591304347826087,0.4434782608695652,2.796228592436479,0.5112529974626868,0.4489085038176842
neural:v2_deepsets_equal_budget,dg_zero_shot,switzerland,mcar_50,8,0.3677298311444654,123.0,0.9349593495934959,0.6826086956521739,0.9680380969438708,0.7982600800921797,0.6642183568414887,0.29374682023164106,0.2363023495295003,0.4878048780487805,0.5516304347826086,0.6358381502890174,0.9482758620689655,0.4782608695652174,0.4434782608695652,2.90319274846895,0.683039675782102,0.43971029487739194
