revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes
v1_learned_mean,covariance_shear,512,0.15,1.0,0.15078125,10
v1_learned_mean,covariance_shear,512,0.2,1.0,0.191796875,10
v1_learned_mean,covariance_shear,512,0.25,1.0,0.254296875,10
v1_learned_mean,covariance_shear,512,0.3,1.0,0.298828125,20
v1_learned_mean,covariance_shear,512,0.35,1.0,0.348828125,10
v1_learned_mean,covariance_shear,512,0.4,1.0,0.4021484375,10
v1_learned_mean,covariance_shear,512,0.45,1.0,0.4583984375,10
v1_learned_mean,covariance_shear,512,0.5,1.0,0.4962890625,10
v1_learned_mean,covariance_shear,512,0.55,1.0,0.5541015625,10
v1_learned_mean,covariance_shear,512,0.6,1.0,0.608984375,10
v1_learned_mean,covariance_shear,512,0.65,1.0,0.6587890625,10
v1_learned_mean,covariance_shear,512,0.7,1.0,0.70625,10
v1_learned_mean,covariance_shear,512,0.75,1.0,0.7541015625,10
v1_learned_mean,covariance_shear,512,0.8,1.0,0.794921875,10
v1_learned_mean,covariance_shear,512,0.85,1.0,0.85,10
v1_learned_mean,covariance_shear,512,0.9,1.0,0.9021484375,10
v1_learned_mean,covariance_shear,512,0.95,0.9,0.9470703125,10
v1_learned_mean,outcome_dependent_dropout,32,0.05,1.0,0.059375,10
v1_learned_mean,outcome_dependent_dropout,32,0.1,1.0,0.134375,10
v1_learned_mean,outcome_dependent_dropout,32,0.15,1.0,0.140625,10
v1_learned_mean,outcome_dependent_dropout,32,0.2,1.0,0.18125,10
v1_learned_mean,outcome_dependent_dropout,32,0.25,0.95,0.2421875,20
v1_learned_mean,outcome_dependent_dropout,32,0.3,1.0,0.31875,10
v1_learned_mean,outcome_dependent_dropout,32,0.35,0.9,0.378125,10
v1_learned_mean,outcome_dependent_dropout,32,0.4,0.8,0.4,10
v1_learned_mean,outcome_dependent_dropout,32,0.45,0.7,0.48125,10
v1_learned_mean,outcome_dependent_dropout,32,0.5,0.7,0.490625,10
v1_learned_mean,outcome_dependent_dropout,32,0.55,0.4,0.571875,10
v1_learned_mean,outcome_dependent_dropout,32,0.6,0.6,0.590625,10
v1_learned_mean,outcome_dependent_dropout,32,0.65,0.6,0.684375,10
v1_learned_mean,outcome_dependent_dropout,32,0.7,0.4,0.65,10
v1_learned_mean,outcome_dependent_dropout,32,0.75,0.2,0.75625,10
v1_learned_mean,outcome_dependent_dropout,32,0.8,0.2,0.809375,10
v1_learned_mean,outcome_dependent_dropout,32,0.85,0.3,0.809375,10
v1_learned_mean,outcome_dependent_dropout,32,0.9,0.1,0.89375,10
v1_learned_mean,outcome_dependent_dropout,32,0.95,0.1,0.953125,10
v1_learned_mean,outcome_dependent_dropout,64,0.05,0.9,0.0421875,10
v1_learned_mean,outcome_dependent_dropout,64,0.1,1.0,0.0921875,10
v1_learned_mean,outcome_dependent_dropout,64,0.15,0.9,0.16875,10
v1_learned_mean,outcome_dependent_dropout,64,0.2,0.9,0.228125,10
v1_learned_mean,outcome_dependent_dropout,64,0.25,0.85,0.2828125,20
v1_learned_mean,outcome_dependent_dropout,64,0.3,0.7,0.3109375,10
v1_learned_mean,outcome_dependent_dropout,64,0.35,0.8,0.33125,10
v1_learned_mean,outcome_dependent_dropout,64,0.4,0.4,0.4234375,10
v1_learned_mean,outcome_dependent_dropout,64,0.45,0.5,0.490625,10
v1_learned_mean,outcome_dependent_dropout,64,0.5,0.2,0.4984375,10
v1_learned_mean,outcome_dependent_dropout,64,0.55,0.3,0.5359375,10
v1_learned_mean,outcome_dependent_dropout,64,0.6,0.2,0.6453125,10
v1_learned_mean,outcome_dependent_dropout,64,0.65,0.0,0.64375,10
v1_learned_mean,outcome_dependent_dropout,64,0.7,0.0,0.6921875,10
v1_learned_mean,outcome_dependent_dropout,64,0.75,0.1,0.7375,10
v1_learned_mean,outcome_dependent_dropout,64,0.8,0.0,0.7921875,10
v1_learned_mean,outcome_dependent_dropout,64,0.85,0.0,0.840625,10
v1_learned_mean,outcome_dependent_dropout,64,0.9,0.0,0.8875,10
v1_learned_mean,outcome_dependent_dropout,64,0.95,0.0,0.959375,10
v1_learned_mean,outcome_dependent_dropout,128,0.05,1.0,0.05078125,10
v1_learned_mean,outcome_dependent_dropout,128,0.1,1.0,0.09609375,10
v1_learned_mean,outcome_dependent_dropout,128,0.15,0.9,0.15,10
v1_learned_mean,outcome_dependent_dropout,128,0.2,0.8,0.1953125,10
v1_learned_mean,outcome_dependent_dropout,128,0.25,0.75,0.251171875,20
v1_learned_mean,outcome_dependent_dropout,128,0.3,0.6,0.27578125,10
v1_learned_mean,outcome_dependent_dropout,128,0.35,0.3,0.3609375,10
v1_learned_mean,outcome_dependent_dropout,128,0.4,0.3,0.39453125,10
v1_learned_mean,outcome_dependent_dropout,128,0.45,0.1,0.45859375,10
v1_learned_mean,outcome_dependent_dropout,128,0.5,0.0,0.5,10
v1_learned_mean,outcome_dependent_dropout,128,0.55,0.0,0.55625,10
v1_learned_mean,outcome_dependent_dropout,128,0.6,0.0,0.61640625,10
v1_learned_mean,outcome_dependent_dropout,128,0.65,0.0,0.640625,10
v1_learned_mean,outcome_dependent_dropout,128,0.7,0.0,0.70859375,10
v1_learned_mean,outcome_dependent_dropout,128,0.75,0.0,0.73125,10
v1_learned_mean,outcome_dependent_dropout,128,0.8,0.0,0.78828125,10
v1_learned_mean,outcome_dependent_dropout,128,0.85,0.0,0.83984375,10
v1_learned_mean,outcome_dependent_dropout,128,0.9,0.0,0.91484375,10
v1_learned_mean,outcome_dependent_dropout,128,0.95,0.0,0.95625,10
v1_learned_mean,outcome_dependent_dropout,256,0.05,1.0,0.053125,10
v1_learned_mean,outcome_dependent_dropout,256,0.1,0.9,0.105859375,10
v1_learned_mean,outcome_dependent_dropout,256,0.15,0.8,0.1421875,10
v1_learned_mean,outcome_dependent_dropout,256,0.2,0.8,0.187109375,10
v1_learned_mean,outcome_dependent_dropout,256,0.25,0.3,0.2447265625,20
v1_learned_mean,outcome_dependent_dropout,256,0.3,0.1,0.281640625,10
v1_learned_mean,outcome_dependent_dropout,256,0.35,0.1,0.357421875,10
v1_learned_mean,outcome_dependent_dropout,256,0.4,0.0,0.39375,10
v1_learned_mean,outcome_dependent_dropout,256,0.45,0.0,0.4453125,10
v1_learned_mean,outcome_dependent_dropout,256,0.5,0.0,0.500390625,10
v1_learned_mean,outcome_dependent_dropout,256,0.55,0.0,0.550390625,10
v1_learned_mean,outcome_dependent_dropout,256,0.6,0.0,0.590625,10
v1_learned_mean,outcome_dependent_dropout,256,0.65,0.0,0.630078125,10
v1_learned_mean,outcome_dependent_dropout,256,0.7,0.0,0.678125,10
v1_learned_mean,outcome_dependent_dropout,256,0.75,0.0,0.7453125,10
v1_learned_mean,outcome_dependent_dropout,256,0.8,0.0,0.807421875,10
v1_learned_mean,outcome_dependent_dropout,256,0.85,0.0,0.848046875,10
v1_learned_mean,outcome_dependent_dropout,256,0.9,0.0,0.895703125,10
v1_learned_mean,outcome_dependent_dropout,256,0.95,0.0,0.937890625,10
v1_learned_mean,outcome_dependent_dropout,512,0.05,1.0,0.0435546875,10
v1_learned_mean,outcome_dependent_dropout,512,0.1,0.9,0.1052734375,10
v1_learned_mean,outcome_dependent_dropout,512,0.15,0.5,0.1564453125,10
v1_learned_mean,outcome_dependent_dropout,512,0.2,0.5,0.1951171875,10
v1_learned_mean,outcome_dependent_dropout,512,0.25,0.1,0.2552734375,20
v1_learned_mean,outcome_dependent_dropout,512,0.3,0.0,0.3021484375,10
v1_learned_mean,outcome_dependent_dropout,512,0.35,0.0,0.3529296875,10
v1_learned_mean,outcome_dependent_dropout,512,0.4,0.0,0.4041015625,10
v1_learned_mean,outcome_dependent_dropout,512,0.45,0.0,0.4369140625,10
v1_learned_mean,outcome_dependent_dropout,512,0.5,0.0,0.4955078125,10
v1_learned_mean,outcome_dependent_dropout,512,0.55,0.0,0.5513671875,10
v1_learned_mean,outcome_dependent_dropout,512,0.6,0.0,0.608203125,10
v1_learned_mean,outcome_dependent_dropout,512,0.65,0.0,0.64609375,10
v1_learned_mean,outcome_dependent_dropout,512,0.7,0.0,0.707421875,10
v1_learned_mean,outcome_dependent_dropout,512,0.75,0.0,0.7443359375,10
v1_learned_mean,outcome_dependent_dropout,512,0.8,0.0,0.80234375,10
v1_learned_mean,outcome_dependent_dropout,512,0.85,0.0,0.8568359375,10
v1_learned_mean,outcome_dependent_dropout,512,0.9,0.0,0.9029296875,10
v1_learned_mean,outcome_dependent_dropout,512,0.95,0.0,0.9478515625,10
v1_learned_mean,pure_label_shift,32,0.05,1.0,0.04375,20
v1_learned_mean,pure_label_shift,32,0.1,1.0,0.096875,10
v1_learned_mean,pure_label_shift,32,0.15,1.0,0.15,10
v1_learned_mean,pure_label_shift,32,0.2,1.0,0.178125,10
v1_learned_mean,pure_label_shift,32,0.25,1.0,0.234375,10
v1_learned_mean,pure_label_shift,32,0.3,1.0,0.309375,10
v1_learned_mean,pure_label_shift,32,0.35,1.0,0.340625,10
v1_learned_mean,pure_label_shift,32,0.4,1.0,0.365625,10
v1_learned_mean,pure_label_shift,32,0.45,1.0,0.484375,10
v1_learned_mean,pure_label_shift,32,0.5,1.0,0.490625,10
v1_learned_mean,pure_label_shift,32,0.55,1.0,0.58125,10
v1_learned_mean,pure_label_shift,32,0.6,1.0,0.578125,10
v1_learned_mean,pure_label_shift,32,0.65,1.0,0.68125,10
v1_learned_mean,pure_label_shift,32,0.7,1.0,0.690625,10
v1_learned_mean,pure_label_shift,32,0.75,1.0,0.7,10
