method,outer_target,sex,both_classes_observed,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
classical:xgboost:site_class_balanced,hungary,1.0,True,213.0,0.4413145539906103,0.8873591989987484,0.8388221628057506,0.43757278987236103,0.44742502717846916,0.13779819687246533,0.1417879293332336,0.8028169014084507,0.7955927051671732,0.7666666666666667,0.8023255813953488,0.7340425531914894,0.8191489361702128,0.15543838418287956,1.312711007695502,0.09649113561661309
classical:xgboost:site_class_balanced:source_oof_platt,hungary,1.0,True,213.0,0.4413145539906103,0.8871804040765242,0.8387350519548374,0.485634930153656,0.500984842652819,0.15491763753221227,0.16164795180265876,0.7793427230046949,0.7667620239585196,0.7251461988304093,0.8051948051948052,0.6595744680851063,0.8191489361702128,0.556120080296855,2.104158130046156,0.09799710704991
classical:catboost:site_class_balanced,hungary,0.0,True,81.0,0.14814814814814814,0.8272946859903382,0.4969070004292199,0.3668120167643177,0.5806736145062906,0.11035226202333276,0.19428376181677665,0.8888888888888888,0.7626811594202898,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.75,-0.8772649190666176,0.9446886192571075,0.05818903261998454
classical:catboost:site_class_balanced:source_oof_platt,hungary,0.0,True,81.0,0.14814814814814814,0.8272946859903382,0.4969070004292199,0.3735239371936783,0.6205533955267089,0.11028188779364069,0.2168750524909705,0.8518518518518519,0.6032608695652174,0.3333333333333333,0.5,0.25,0.75,-0.3102992441005274,1.559906305203624,0.045337636009378776
classical:core_logistic:pooled,hungary,0.0,True,81.0,0.14814814814814814,0.8001207729468599,0.3398227132063339,0.3946813967177279,0.7376628594809332,0.122951896614102,0.26761523473990323,0.8271604938271605,0.5543478260869565,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.5,-0.58533448798305,0.9896622867768133,0.04736601469793359
classical:core_logistic:pooled:source_oof_platt,hungary,0.0,True,81.0,0.14814814814814814,0.8001207729468599,0.3398227132063339,0.3760277858419599,0.9602043523050217,0.11634628728622358,0.3411307185052082,0.8518518518518519,0.5,0.0,0.0,0.0,0.5,0.31422645765362617,1.0750362112650949,0.04371257545598569
classical:elastic_net_logistic:site_class_balanced,hungary,0.0,True,81.0,0.14814814814814814,0.33091787439613524,0.19902878781548966,1.0099295651338949,0.9542457646910898,0.3788822612789721,0.3534749736675147,0.2839506172839506,0.26992753623188404,0.09375,0.057692307692307696,0.25,0.16666666666666666,-1.6473586427915603,-0.46552921357732535,0.7190370114332221
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,hungary,0.0,True,81.0,0.14814814814814814,0.4045893719806763,0.20367223706450155,0.6947862311432443,0.6940218021030079,0.2508195021870876,0.25043730280203413,0.37037037037037035,0.42391304347826086,0.19047619047619047,0.11764705882352941,0.5,0.16666666666666666,-1.6829093433299103,-30.56586351850807,0.677192211258267
classical:hist_gradient_boosting:site_class_balanced,hungary,0.0,True,81.0,0.14814814814814814,0.8381642512077294,0.4662533068783068,0.3779281322215134,0.5360589592310472,0.11419159590707567,0.17944822346559736,0.8518518518518519,0.7409420289855073,0.5384615384615384,0.5,0.5833333333333334,0.75,-1.0910598394083102,0.8644208903517484,0.06998314434846366
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,hungary,0.0,True,81.0,0.14814814814814814,0.8381642512077294,0.4662533068783068,0.4103148691456465,0.5838900639022191,0.12201483378685277,0.20065275060025517,0.8641975308641975,0.6793478260869565,0.47619047619047616,0.5555555555555556,0.4166666666666667,0.75,-0.5122438886494086,1.903343592886986,0.043299116447123365
classical:lightgbm:site_class_balanced,hungary,0.0,True,81.0,0.14814814814814814,0.8236714975845411,0.4527887773850815,0.3643589162924259,0.588602836167601,0.11130150919517143,0.1987028025537774,0.8395061728395061,0.6992753623188406,0.48,0.46153846153846156,0.5,0.75,-0.9118509596370227,0.8553728061241248,0.05866663739438481
