revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes,affected_probability,expected_affected_rows,probability_fewer_than_five_affected
v1_learned_mean,conditional_translation,32,0.75,0.3,0.790625,10,0.75,24.0,1.6540810604884215e-13
v1_learned_mean,conditional_translation,32,0.8,0.1,0.815625,10,0.8,25.6,4.093647146450914e-16
v1_learned_mean,conditional_translation,32,0.85,0.2,0.840625,10,0.85,27.2,1.6393785917991556e-19
v1_learned_mean,conditional_translation,32,0.9,0.1,0.89375,10,0.9,28.8,2.3958986499999816e-24
v1_learned_mean,conditional_translation,32,0.95,0.2,0.953125,10,0.95,30.4,1.0990871733520452e-32
v1_learned_mean,conditional_translation,64,0.05,1.0,0.0640625,10,0.05,3.2,0.7843570436086973
v1_learned_mean,conditional_translation,64,0.1,1.0,0.1171875,20,0.1,6.4,0.22046890416045262
v1_learned_mean,conditional_translation,64,0.15,1.0,0.1625,10,0.15,9.6,0.027971389925458848
v1_learned_mean,conditional_translation,64,0.2,0.9,0.20625,10,0.2,12.8,0.0020563392966268445
v1_learned_mean,conditional_translation,64,0.25,0.9,0.23125,10,0.25,16.0,9.720959483087329e-05
v1_learned_mean,conditional_translation,64,0.3,0.9,0.3265625,10,0.3,19.2,3.0632328762810027e-06
v1_learned_mean,conditional_translation,64,0.35,0.7,0.3078125,10,0.35,22.4,6.434023677560167e-08
v1_learned_mean,conditional_translation,64,0.4,0.8,0.41875,10,0.4,25.6,8.791057034367629e-10
v1_learned_mean,conditional_translation,64,0.45,0.7,0.428125,10,0.45,28.8,7.466226553523213e-12
v1_learned_mean,conditional_translation,64,0.5,0.5,0.4953125,10,0.5,32.0,3.681522317902641e-14
v1_learned_mean,conditional_translation,64,0.55,0.5,0.5625,10,0.55,35.2,9.568125603265461e-17
v1_learned_mean,conditional_translation,64,0.6,0.3,0.6109375,10,0.6,38.4,1.1439748724094953e-19
