method,outer_target,policy,mask_replicate,class_0_n,class_0_log_loss,class_1_n,class_1_log_loss,balanced_log_loss
classical:core_logistic:pooled,cleveland,mcar_50,8,164,1.184111313298273,139,0.283251499476895,0.7336814063875841
classical:core_logistic:pooled,cleveland,mcar_50,9,164,1.140191284870753,139,0.2996187876486654,0.7199050362597091
classical:core_logistic:pooled,cleveland,natural,0,164,0.6928416166846194,139,0.3717670580682815,0.5323043373764504
classical:core_logistic:pooled:source_oof_platt,cleveland,drop_advanced,0,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,drop_exercise,0,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,drop_routine,0,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,0,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,1,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,2,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,3,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,4,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,5,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,6,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,7,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,8,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,empirical_source,9,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,0,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,1,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,2,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,3,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,4,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,5,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,6,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,7,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,8,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mar_age_sex_30,9,164,0.37461770101728004,139,0.6905639021061513,0.5325908015617157
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,0,164,0.41523380329483756,139,0.668967904251975,0.5421008537734063
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,1,164,0.4324066767175006,139,0.6662279041006521,0.5493172904090764
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,2,164,0.45350342432096213,139,0.6653150098244337,0.5594092170726979
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,3,164,0.45185520230447784,139,0.6520529111429895,0.5519540567237337
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,4,164,0.41888143042179,139,0.6824911419609178,0.5506862861913538
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,5,164,0.4370647589962749,139,0.6752853054537619,0.5561750322250184
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,6,164,0.4392750465419075,139,0.6850989258025051,0.5621869861722063
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,7,164,0.433453663835829,139,0.6334902477391796,0.5334719557875043
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,8,164,0.43782003633866673,139,0.6853335304176085,0.5615767833781375
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_10,9,164,0.4229692103860295,139,0.691103813303421,0.5570365118447252
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,0,164,0.5134706718999609,139,0.6367078999454542,0.5750892859227075
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,1,164,0.5307677853667689,139,0.6224171409990374,0.5765924631829031
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,2,164,0.578345276201137,139,0.581861883331629,0.5801035797663829
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,3,164,0.5521370487541324,139,0.5930352774350426,0.5725861630945874
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,4,164,0.550395109792681,139,0.6211171925796454,0.5857561511861632
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,5,164,0.5402315556045376,139,0.6142436589496204,0.5772376072770791
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,6,164,0.5384837825244632,139,0.6335748323009487,0.5860293074127059
classical:core_logistic:pooled:source_oof_platt,cleveland,mcar_30,7,164,0.5357860535312833,139,0.6020005768156994,0.5688933151734914
