outer_target,inner_validation,control,parameter_id,parameters_json,seed,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,mar_age_sex_30,0,294.0,0.36054421768707484,0.9073665194700924,0.8569275707078916,0.38267111870505494,0.44354412410137234,0.11850967889815951,0.1412379598879509,0.826530612244898,0.794409875551987,0.7384615384615385,0.8089887640449438,0.6792452830188679,0.8584905660377359,0.4491752269381502,1.3499049819825373,0.06414966994289237
switzerland,hungary,logistic_structured,0,"{""C"": 1.0}",5062,empirical_source,0,294.0,0.36054421768707484,0.909273384183059,0.8647795636363468,0.3748023709143066,0.4385400622837766,0.1173967826606455,0.14187158964410007,0.8231292517006803,0.7814632677639501,0.7204301075268817,0.8375,0.6320754716981132,0.8773584905660378,0.5473536914900466,1.3564610011270086,0.06049503467283062
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,natural,0,200.0,0.745,0.7478615607316752,0.8776154224743479,0.5149326262109509,0.6999131518993637,0.16843431230990635,0.23091051924297779,0.72,0.6508751151467298,0.8082191780821918,0.8251748251748252,0.7919463087248322,0.4966442953020134,0.47896108382235325,0.6179473935358608,0.1377008973259051
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,mcar_10,0,200.0,0.745,0.7425977102250295,0.8762551091299554,0.517392462751962,0.6951283552659075,0.1686105815478419,0.22957459800000765,0.745,0.6676536386366627,0.8282828282828283,0.831081081081081,0.825503355704698,0.4899328859060403,0.4982356765214332,0.6310361592006908,0.13941654528465763
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,mcar_30,0,200.0,0.745,0.7095670482958284,0.8573774747298263,0.5309669192789293,0.6960192962533603,0.17380972919417956,0.2354678476874735,0.745,0.6483089880247401,0.8316831683168316,0.8181818181818182,0.8456375838926175,0.37583892617449666,0.5497478829422169,0.6765083859019764,0.15376752200628424
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,mcar_50,0,200.0,0.745,0.7074615080931701,0.88192120241997,0.5510496658835484,0.6295399402656726,0.18961196356303878,0.22263499763333897,0.71,0.6570601394920385,0.7972027972027972,0.8321167883211679,0.7651006711409396,0.4228187919463087,0.7410203600675168,0.8072905198725966,0.1671494784561126
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,drop_routine,0,200.0,0.745,0.7431898934070271,0.8850631597874936,0.5206409578828886,0.6923077642932307,0.17286739884227217,0.23316142038636323,0.735,0.6544940123700487,0.8215488215488216,0.8243243243243243,0.8187919463087249,0.5436241610738255,0.5089645017465224,0.6199221912040204,0.13314052435879598
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,drop_exercise,0,200.0,0.745,0.7100934333464929,0.8415234904606983,0.5690848572851882,0.6715565061502227,0.19179549636686224,0.23213367122227618,0.69,0.6436373207000922,0.7801418439716312,0.8270676691729323,0.738255033557047,0.5570469798657718,0.7666735240376171,0.6811656019336165,0.18238743301955895
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,drop_advanced,0,200.0,0.745,0.7443084616396894,0.8866831578856239,0.5116652057005331,0.6825425414579662,0.1686630025986952,0.22874706538351272,0.725,0.6542308198447164,0.8122866894197952,0.8263888888888888,0.7986577181208053,0.48322147651006714,0.4984092866154962,0.6502202794273446,0.12949910101314088
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,mar_age_sex_30,0,200.0,0.745,0.7222002895117778,0.8723307409044969,0.5415780275487213,0.6605109289601181,0.18277098969635838,0.22781915444406342,0.705,0.6537044347940519,0.7929824561403509,0.8308823529411765,0.7583892617449665,0.44966442953020136,0.6806938952696939,0.663673576276848,0.15479195340303145
switzerland,va_long_beach,logistic_structured,0,"{""C"": 1.0}",5062,empirical_source,0,200.0,0.745,0.7425977102250296,0.8843493545449412,0.514240917589322,0.6879566224304554,0.16862767588342764,0.22848133918490895,0.725,0.6542308198447164,0.8122866894197952,0.8263888888888888,0.7986577181208053,0.48322147651006714,0.501842723379407,0.6374847089300802,0.131119256505892
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,natural,0,303.0,0.45874587458745875,0.8111072117915423,0.7904770251640808,0.5590687443053362,0.5585375059628854,0.18091998796627715,0.1806972097432347,0.7524752475247525,0.7521494999122653,0.734982332155477,0.7222222222222222,0.7482014388489209,0.6690647482014388,-0.2163514958952845,0.6576268809529294,0.1665897410175398
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_10,0,303.0,0.45874587458745875,0.7841726618705036,0.7533190720194037,0.6122145905251324,0.6046799282190004,0.20308688409640416,0.2005252255534556,0.6996699669966997,0.7033690121073872,0.6956521739130435,0.65,0.7482014388489209,0.60431654676259,-0.3415795874737389,0.5902687784180424,0.1894521203086874
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_30,0,303.0,0.45874587458745875,0.7665818564660466,0.7372114071802429,0.6742804319472718,0.6563980924027868,0.22349546534482911,0.21694347770308764,0.6996699669966997,0.709949113879628,0.718266253869969,0.6304347826086957,0.8345323741007195,0.5827338129496403,-0.5413313280363019,0.5719123428007447,0.23651130472121815
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,mcar_50,0,303.0,0.45874587458745875,0.6641954728899807,0.6387214363370415,0.8629659469149995,0.8276421386986162,0.29454346957016586,0.28154429822199656,0.5676567656765676,0.5863528689243727,0.6330532212885154,0.518348623853211,0.8129496402877698,0.38848920863309355,-0.554592909177208,0.3770373070990305,0.3536153412082769
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,drop_routine,0,303.0,0.45874587458745875,0.8111949464818389,0.7736547109846508,0.7150208508514357,0.6794396517579957,0.22602912436197656,0.21431055463186077,0.6864686468646864,0.7043340937006493,0.7293447293447294,0.6037735849056604,0.920863309352518,0.6618705035971223,-1.0435881812831291,0.6606444549800471,0.2300562048774795
va_long_beach,cleveland,logistic_natural,0,"{""C"": 1.0}",5062,drop_exercise,0,303.0,0.45874587458745875,0.6843744516581857,0.6127276953107692,0.6634316219133233,0.6591579557182163,0.22947790758291395,0.22753380449983204,0.6501650165016502,0.6548955957185472,0.6513157894736842,0.6,0.7122302158273381,0.4316546762589928,-0.23075513225510363,0.5957896027667302,0.3157207748007626
