outer_target,experiment,variant,epochs,config_sha256,policy,mask_replicate,diagnostic_mode,calibration_intercept,calibration_slope,estimated_target_prevalence_mlls,estimated_target_prevalence_soft_bbse,diagnostic_best_prior,diagnostic_best_statistic,diagnostic_p_value,diagnostic_accepted_interval_low,diagnostic_accepted_interval_high,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,adaptation_allowed
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mcar_50,9.0,composite_multiview_v3,0.0612450370617957,0.6035003464772074,0.4367004334889712,0.5424210905287254,0.6,0.1074196403422118,0.005,,,True,True,0.2937293729372937,0.1538461538461538,0.2307692307692307,False
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,natural,0.0,composite_multiview_v3,-0.1906645399935599,0.7005600009647517,0.2960205366250333,0.4224678982814147,0.45,0.4883834570206383,0.005,,,True,True,0.9933993399339934,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,drop_advanced,0.0,composite_multiview_v3,-0.1783600050078767,0.662940711102204,0.1625901092228257,0.3462801719056492,0.4,0.0659458378807885,0.005,,,True,True,1.0,0.0,0.0,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,drop_exercise,0.0,composite_multiview_v3,-0.0704851055685263,0.6810640619789925,0.1718891202071426,0.4248772311633306,0.55,0.4759781554513788,0.005,,,True,True,1.0,0.0,0.0,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,drop_routine,0.0,composite_multiview_v3,-0.1125895334835392,0.6345949727041951,0.2547259341607474,0.4588315030609461,0.5,0.4497024206296309,0.005,,,True,True,1.0,0.0,0.0,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,0.0,composite_multiview_v3,-0.130657351796138,0.6542189340395267,0.1276788467706386,0.3326077229760119,0.4,0.0201057699172904,0.005,,,False,False,0.976897689768977,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,1.0,composite_multiview_v3,-0.1164283817781427,0.645790044103327,0.1646111939624157,0.345839064022727,0.4,0.0303828485861677,0.005,,,False,False,0.9702970297029704,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,2.0,composite_multiview_v3,-0.1250038499574113,0.6385867800462968,0.1623327934102066,0.3428007889959771,0.4,0.0269856923799301,0.005,,,False,False,0.9504950495049505,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,3.0,composite_multiview_v3,-0.12083658716392,0.6378159906440508,0.1443841451976784,0.3369601954688963,0.4,0.0250540186098595,0.005,,,True,True,0.943894389438944,0.0769230769230769,0.1538461538461538,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,4.0,composite_multiview_v3,-0.1151048684227815,0.6289482611101987,0.1256290156577324,0.3294982974770259,0.35,0.0219338272861541,0.005,,,False,False,0.9735973597359736,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,5.0,composite_multiview_v3,-0.1271287292828912,0.6334676920551485,0.1118422001087634,0.3394273281353823,0.4,0.0302060736998846,0.005,,,False,False,0.9603960396039604,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,6.0,composite_multiview_v3,-0.0734711503278066,0.6856311249014658,0.2075459722988747,0.3498253131722239,0.4,0.0247212820232597,0.005,,,False,False,0.9801980198019802,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,7.0,composite_multiview_v3,-0.1125497973050086,0.653002142536951,0.1480068160078742,0.3325309256266682,0.4,0.0271101817629756,0.005,,,True,True,0.9702970297029704,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,8.0,composite_multiview_v3,-0.0883623218640246,0.6759652743165349,0.2199725608152126,0.3544933865923884,0.4,0.0279092149156106,0.005,,,False,False,0.9174917491749176,0.0769230769230769,0.1538461538461538,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,empirical_source,9.0,composite_multiview_v3,-0.1152614160757975,0.6644643054691683,0.1634885971432943,0.3250310306903133,0.4,0.0248977793719496,0.005,,,True,True,0.9801980198019802,0.0,0.0769230769230769,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,0.0,composite_multiview_v3,-0.1100161119640735,0.6547819277111159,0.1868194589520586,0.4001595137976456,0.45,0.2346216452851482,0.005,,,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,1.0,composite_multiview_v3,-0.1092850319068441,0.6940172018776822,0.2184025556035181,0.4182990269614007,0.5,0.2063514459027587,0.005,,,True,True,0.1815181518151815,0.1538461538461538,0.2307692307692307,False
cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mar_age_sex_30,2.0,composite_multiview_v3,-0.1243527874416703,0.6773269262214907,0.2040036085562681,0.4121536592735842,0.45,0.209394352035277,0.005,,,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307,False
