outer_target,experiment,variant,epochs,config_sha256,view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.0032059502430812,0.0016507055572881,0.015,False,0.05,128.0,0.9956808318466068,mar_age_sex_30,0.0,composite_multiview_v3,False,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.35,0.0164619426834908,0.0042095325950632,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,0.0,composite_multiview_v3,False,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.6387154726632752,0.0031518124159056,0.005,False,0.05,128.0,4.172676769195856,mar_age_sex_30,0.0,composite_multiview_v3,False,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.45,0.2308621648534104,0.002623897163058,0.005,False,0.05,384.0,,mar_age_sex_30,0.0,composite_multiview_v3,False,True,True,0.165016501650165,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.45,0.0055416269870285,0.0026181849898015,0.005,False,0.05,128.0,0.9862196857528204,mar_age_sex_30,1.0,composite_multiview_v3,False,True,True,0.1815181518151815,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0186708378724132,0.0035030167253266,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,1.0,composite_multiview_v3,False,True,True,0.1815181518151815,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.5482876079443544,0.0036817699768361,0.005,False,0.05,128.0,4.159676418360886,mar_age_sex_30,1.0,composite_multiview_v3,False,True,True,0.1815181518151815,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.5,0.2002780710246293,0.0020852904965227,0.005,False,0.05,384.0,,mar_age_sex_30,1.0,composite_multiview_v3,False,True,True,0.1815181518151815,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.0036136545255675,0.0022306515610809,0.01,False,0.05,128.0,0.9916038801649224,mar_age_sex_30,2.0,composite_multiview_v3,False,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.4,0.0154048534848573,0.0028385304737761,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,2.0,composite_multiview_v3,False,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,mask,0.95,0.5723274811732038,0.0038370045632392,0.005,False,0.05,128.0,4.168885301227394,mar_age_sex_30,2.0,composite_multiview_v3,False,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,composite,0.45,0.2053434266538085,0.0025827527815597,0.005,False,0.05,384.0,,mar_age_sex_30,2.0,composite_multiview_v3,False,True,True,0.2343234323432343,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,evidence,0.4,0.0031087695621634,0.0023064608297457,0.035,False,0.05,128.0,0.984363082711855,mar_age_sex_30,3.0,composite_multiview_v3,False,True,True,0.1551155115511551,0.1538461538461538,0.2307692307692307
cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f,core,0.35,0.018094267992279,0.0039824560300128,0.005,False,0.05,128.0,2.2128682345625577,mar_age_sex_30,3.0,composite_multiview_v3,False,True,True,0.1551155115511551,0.1538461538461538,0.2307692307692307
